         6098384 function calls (6095667 primitive calls) in 8.963 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    124/1    0.000    0.000    8.963    8.963 {built-in method builtins.exec}
        1    0.012    0.012    8.963    8.963 comparison.py:1(<module>)
        1    1.170    1.170    8.848    8.848 comparison.py:14(test)
  1000000    1.847    0.000    1.847    0.000 layers.py:37(forward)
  1000000    1.565    0.000    1.565    0.000 layers.py:17(forward)
  1000000    1.564    0.000    1.564    0.000 layers.py:28(forward)
       10    0.617    0.062    1.343    0.134 comparison.py:36(<listcomp>)
       10    0.392    0.039    0.785    0.079 comparison.py:24(<listcomp>)
  1000000    0.726    0.000    0.726    0.000 layers.py:33(__init__)
       10    0.470    0.047    0.573    0.057 comparison.py:30(<listcomp>)
  1000000    0.393    0.000    0.393    0.000 layers.py:13(__init__)
       14    0.001    0.000    0.246    0.018 __init__.py:1(<module>)
  1000000    0.103    0.000    0.103    0.000 layers.py:24(__init__)
    166/4    0.001    0.000    0.101    0.025 <frozen importlib._bootstrap>:1022(_find_and_load)
    166/4    0.001    0.000    0.101    0.025 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    154/4    0.001    0.000    0.101    0.025 <frozen importlib._bootstrap>:664(_load_unlocked)
    123/4    0.001    0.000    0.101    0.025 <frozen importlib._bootstrap_external>:877(exec_module)
    242/4    0.000    0.000    0.100    0.025 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    374/9    0.001    0.000    0.093    0.010 {built-in method builtins.__import__}
   251/41    0.001    0.000    0.093    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.034    0.034 __config__.py:1(<module>)
        1    0.000    0.000    0.022    0.022 index_tricks.py:1(<module>)
      123    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.018    0.018 defmatrix.py:1(<module>)
        1    0.000    0.000    0.017    0.017 linalg.py:1(<module>)
  154/149    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      123    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      163    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      123    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
       18    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
       18    0.009    0.000    0.011    0.001 {built-in method _imp.create_dynamic}
  191/131    0.000    0.000    0.010    0.000 typing.py:306(inner)
        1    0.000    0.000    0.010    0.010 utils.py:1(<module>)
      150    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.009    0.009 _pickle.py:1(<module>)
      150    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
